Name,Address,Phone
"Đặc Sản Bình Định Quy Nhơn Ông Bảy","
23 Phan Văn Lân, Thị Nải, Quy Nhơn, Gia Lai, Việt Nam","0908319357"
"Cơm Ngon Quy Nhơn Mr Mộc","
57 Nguyễn Thị Định, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai 55113, Việt Nam","0382446320"
"Phố ẩm thực Quy Nhơn","
07 Ngô Văn Sở, Trần Phú, Quy Nhơn, Gia Lai, Việt Nam",""
"DÊ NÚI QUY NHƠN SÁU TƯỜNG","
28 Nguyễn Văn, Ghềnh Ráng, Quy Nhơn Nam, Gia Lai 590000, Việt Nam","0986403577"
"Nhà Hàng Cơm Mậu Quy Nhơn","
72 An Dương Vương 74, 76 An Dương Vương, Quy Nhơn Nam, Gia Lai 55000, Việt Nam","0933147613"
"Nhà Hàng Cá Khói","
04 Nguyễn Trung Tín, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai 55113, Việt Nam","0963774377"
"Bún Rạm - Bún Tôm Mỹ Hạnh Quy Nhơn","
48 Ngô Gia Tự, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai, Việt Nam","0974744009"
"Nhà Hàng HQ Quy Nhon","
Ngã 4 Nguyễn Thị Định và, Nguyễn Trung Tín, Quy Nhơn Nam, Gia Lai 55100, Việt Nam","0905260677"
"Rô Đồng Quán - Quy Nhơn","
16 Võ Thị Yến, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai, Việt Nam","0917011629"
"Cơm Nhà 1989","
Ngã tư, Nguyễn Thị Định Bùi Hữu Nghĩa, &, Quy Nhơn Nam, Gia Lai 820000, Việt Nam","02566263579"
"Quán Sáu Cao 1","
Đường Phạm Thị Đào, Khu Bông Hồng, Quy Nhơn Nam, Gia Lai 590000, Việt Nam","02563547655"
"Bún cá Ngọc Liên","
379 Nguyễn Huệ, Trần Phú, Quy Nhơn, Gia Lai, Việt Nam","0983545477"
"Quán Ăn Bà Tám","
444 Nguyễn Thái Học, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai, Việt Nam","0914215719"
"Quán bún chả cá Phượng Tèo","
211 Nguyễn Huệ, Trần Phú, Quy Nhơn, Gia Lai, Việt Nam","0989157336"
"Quán ăn Bún cá & Bánh canh hẹ VÂN QUY NHƠN","
169Â, Lê Lợi, Trần Hưng Đạo, Quy Nhơn, Gia Lai, Việt Nam","0935332462"
"Bánh Xèo Gia Vỹ 2","
14 Diên Hồng, Lê Hồng Phong, Quy Nhơn, Gia Lai 59000, Việt Nam",""
"Cơm Niêu Hội An - Quy Nhơn","
114 Nguyễn Tất Thành, Lê Hồng Phong, Quy Nhơn, Gia Lai 55000, Việt Nam","0914035334"
"Quán Ăn Ngọc Linh","
19 Phan Đình Phùng, Thị Nải, Quy Nhơn, Gia Lai, Việt Nam","0903140056"
"Nhà Hàng Hải Sản Quy Nhơn Alaska","
9 Nguyễn Trung Tín, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai 55113, Việt Nam","0913630377"
"Quán ăn Bếp Củi Quy Nhơn","
37 Hàm Nghi, Ngô Mây, Quy Nhơn Nam, Gia Lai, Việt Nam","0971443343"
"Festina Lente Nhà Hàng Á Âu Hiện Đại","
01-H4 đối diện, 226 Nguyễn Thị Định, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai, Việt Nam","0867157387"
"Gà Làng Quán - Quy Nhơn","
70/4 Hàn Mặc Tử, Ghềnh Ráng, Quy Nhơn Nam, Gia Lai 55000, Việt Nam","0357676677"
"CÁ NGỪ ĐẠI DƯƠNG CHỊ THUẬN QUY NHƠN","
15 Bùi Hữu Nghĩa, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai, Việt Nam","0905447081"
"CƠM NIÊU QUY NHƠN","
7-9-11 Lương Đắc Bằng, p, Quy Nhơn Nam, Gia Lai 55000, Việt Nam","0909052260"
"Chè Nhớ","
134 Ngô Mây, Quy Nhơn Nam, Gia Lai, Việt Nam",""
"Há cảo Cầu vồng Quy Nhơn","
587a Nguyễn Thái Học, Nguyễn Văn Cừ, Quy Nhơn Nam, Gia Lai, Việt Nam","0328287728"
"Xôi khúc Quy Nhơn","
45 Đ. Nguyễn Xuân Nhĩ, Quang Trung, Quy Nhơn Nam, Gia Lai, Việt Nam","0906511955"
"Bún Cá Tươi Quy Nhơn","
42 Nguyễn Văn Bé, Trần Hưng Đạo, Quy Nhơn, Gia Lai, Việt Nam","0935352735"
"Cá Kèo Nàng Kiều- nhà hàng hải sản tươi sống uy tín chất lượng tại Quy Nhơn","
66 Võ Thị Yến, p, Quy Nhơn Nam, Gia Lai 55000, Việt Nam","0389500207"
"Hải sản Tươi sống Ông Minh","
29 Diên Hồng, Lý Thường Kiệt, Quy Nhơn, Gia Lai, Việt Nam","0335549959"
"Quán Ghiền Quy Nhơn","
66 Võ Thị Yến, p, Quy Nhơn Nam, Gia Lai 55000, Việt Nam","0935892969"
